<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.01	01:00:00	3290.34	3292.52	3288.99	3291.42	1210	0	7
2025.08.01	01:15:00	3291.41	3293.84	3291.12	3293.47	873	0	7
2025.08.01	01:30:00	3293.47	3294.17	3292.84	3294.02	708	0	7
2025.08.01	01:45:00	3294.02	3295.18	3293.59	3295.02	880	0	7
2025.08.01	02:00:00	3295.03	3295.13	3290.46	3290.59	2066	0	7
2025.08.01	02:15:00	3290.60	3292.45	3288.41	3292.18	1679	0	7
2025.08.01	02:30:00	3292.19	3292.38	3290.00	3291.62	1520	0	7
2025.08.01	02:45:00	3291.63	3291.88	3288.13	3288.61	1622	0	7
2025.08.01	03:00:00	3288.64	3289.29	3286.75	3288.50	2846	0	7
2025.08.01	03:15:00	3288.47	3290.13	3286.56	3288.70	2603	0	7
2025.08.01	03:30:00	3288.69	3293.89	3288.19	3292.93	2454	0	7
2025.08.01	03:45:00	3292.93	3293.19	3289.67	3290.38	2892	0	7
2025.08.01	04:00:00	3290.33	3293.61	3290.01	3291.93	3500	0	7
2025.08.01	04:15:00	3291.93	3293.20	3288.83	3290.43	2504	0	7
2025.08.01	04:30:00	3290.42	3291.74	3286.13	3287.95	2970	0	7
2025.08.01	04:45:00	3287.95	3288.41	3281.62	3283.72	3664	0	7
2025.08.01	05:00:00	3283.73	3291.18	3283.46	3291.08	3941	0	7
2025.08.01	05:15:00	3291.07	3291.25	3287.98	3289.58	2746	0	7
2025.08.01	05:30:00	3289.58	3290.24	3287.14	3289.39	2773	0	7
2025.08.01	05:45:00	3289.38	3292.43	3288.09	3291.79	2584	0	7
2025.08.01	06:00:00	3291.80	3297.16	3291.78	3296.04	2947	0	7
2025.08.01	06:15:00	3296.04	3296.40	3291.52	3292.69	1983	0	7
2025.08.01	06:30:00	3292.69	3293.12	3291.48	3291.97	1999	0	7
2025.08.01	06:45:00	3291.96	3293.27	3290.59	3291.50	1746	0	7
2025.08.01	07:00:00	3291.48	3293.94	3290.41	3291.41	2251	0	7
2025.08.01	07:15:00	3291.41	3293.24	3291.07	3292.84	1717	0	7
2025.08.01	07:30:00	3292.85	3295.53	3291.94	3291.99	1986	0	7
2025.08.01	07:45:00	3291.99	3292.52	3290.15	3292.19	2068	0	7
2025.08.01	08:00:00	3292.17	3294.65	3291.93	3292.62	2224	0	7
2025.08.01	08:15:00	3292.65	3294.41	3291.83	3293.17	1609	0	7
2025.08.01	08:30:00	3293.18	3295.57	3292.66	3295.55	2161	0	7
2025.08.01	08:45:00	3295.53	3300.43	3294.92	3296.68	3457	0	7
2025.08.01	09:00:00	3296.68	3297.46	3294.94	3294.94	3143	0	7
2025.08.01	09:15:00	3295.02	3296.00	3291.76	3292.10	3530	0	7
2025.08.01	09:30:00	3292.10	3293.12	3290.63	3291.52	3103	0	7
2025.08.01	09:45:00	3291.58	3292.44	3290.73	3292.37	2255	0	7
2025.08.01	10:00:00	3292.37	3292.80	3289.60	3292.51	2894	0	7
2025.08.01	10:15:00	3292.47	3293.43	3289.83	3290.93	2906	0	7
2025.08.01	10:30:00	3290.92	3291.05	3285.69	3287.38	3471	0	7
2025.08.01	10:45:00	3287.37	3289.64	3285.27	3286.80	2958	0	7
2025.08.01	11:00:00	3286.77	3288.78	3285.41	3287.89	3242	0	7
2025.08.01	11:15:00	3287.90	3289.64	3286.58	3288.04	2567	0	7
2025.08.01	11:30:00	3288.03	3290.01	3286.73	3289.39	2180	0	7
2025.08.01	11:45:00	3289.35	3294.50	3289.14	3294.35	2547	0	7
2025.08.01	12:00:00	3294.35	3295.54	3293.17	3295.15	2522	0	7
2025.08.01	12:15:00	3295.16	3296.33	3293.74	3294.46	2395	0	7
2025.08.01	12:30:00	3294.44	3295.70	3292.95	3295.69	2509	0	7
2025.08.01	12:45:00	3295.69	3296.42	3292.80	3294.49	2443	0	7
2025.08.01	13:00:00	3294.57	3296.36	3294.07	3294.60	1915	0	7
2025.08.01	13:15:00	3294.62	3295.07	3293.47	3294.04	1614	0	7
2025.08.01	13:30:00	3294.02	3298.03	3293.36	3295.88	2310	0	7
2025.08.01	13:45:00	3295.88	3303.13	3294.92	3298.36	3454	0	7
2025.08.01	14:00:00	3298.36	3301.34	3298.36	3300.79	2892	0	7
2025.08.01	14:15:00	3300.79	3301.44	3298.89	3299.96	2525	0	7
2025.08.01	14:30:00	3299.97	3301.44	3298.83	3299.48	2336	0	7
2025.08.01	14:45:00	3299.50	3300.50	3296.95	3300.39	2631	0	7
2025.08.01	15:00:00	3300.41	3301.28	3297.47	3300.96	3285	0	7
2025.08.01	15:15:00	3300.96	3304.13	3300.52	3302.23	3662	0	7
